Customer_ID,Gender,Age,Married,Number_of_Referrals,Tenure_in_Months,churn_id,state_id
29970-UTT,Female,63,No,9,36,1,10
29978-DEL,Female,30,Yes,11,21,1,1
29990-BIH,Male,21,Yes,15,8,1,16
29990-KAR,Female,24,No,7,8,1,4
29994-UTT,Male,68,No,2,30,1,10
29999-CHH,Female,46,Yes,11,23,1,25
31011-PUN,Male,55,No,15,32,63,26
31016-KER,Male,30,Yes,14,5,1,73
31049-TAM,Female,61,No,7,8,20,5
31070-UTT,Female,33,Yes,7,4,1,51
31072-ASS,Female,49,No,10,33,22,46
31078-RAJ,Male,61,Yes,14,1,63,11
31080-UTT,Male,55,Yes,1,32,1,10
31129-AND,Male,68,No,15,15,18,19
31137-DEL,Male,33,Yes,1,13,1,1
31144-GUJ,Male,70,No,14,3,1,8
31158-GUJ,Male,32,Yes,8,24,1,8
31173-MAD,Male,64,No,14,7,1,20
31196-MAD,Female,45,Yes,3,31,1,20
31198-RAJ,Male,39,Yes,13,19,212,11
31232-KER,Female,79,Yes,12,19,1,73
31235-MAH,Female,31,Yes,14,1,1,2
31244-TAM,Male,31,No,13,31,1,5
31250-BIH,Female,44,No,9,16,1,16
31263-TAM,Female,60,Yes,1,8,267,5
31283-HAR,Female,51,Yes,4,8,1,32
31294-KAR,Male,50,Yes,15,33,18,4
31311-KAR,Female,48,Yes,13,33,1,4
31311-PUN,Male,66,Yes,9,8,1,26
31340-PUD,Male,70,Yes,6,13,5,238
31354-RAJ,Female,69,No,1,16,1,11
31369-BIH,Female,44,Yes,3,22,1,16
31401-RAJ,Female,24,Yes,14,9,1,11
31404-UTT,Female,29,Yes,0,6,1,10
31406-WES,Female,30,No,12,31,1,3
31412-HAR,Female,81,Yes,14,29,18,32
31419-UTT,Male,40,Yes,6,15,1,10
31423-MAH,Male,55,Yes,10,20,1,2
31442-WES,Male,37,Yes,15,2,1,3
31447-ODI,Male,77,No,9,18,1,69
31458-DEL,Male,32,Yes,2,20,20,1
31459-UTT,Male,34,Yes,14,34,1,10
31476-TEL,Male,42,Yes,5,33,18,6
31495-UTT,Female,30,No,10,22,1,10
31507-RAJ,Female,39,No,3,14,1,11
31509-KAR,Female,37,Yes,6,19,1,4
31513-WES,Female,81,No,15,9,1,3
31518-CHH,Female,65,No,2,8,3,25
31535-PUN,Female,30,Yes,14,16,1,26
31538-HAR,Male,37,No,13,12,1,32
31545-HAR,Male,45,No,3,5,1,32
31546-AND,Male,35,Yes,15,33,1,19
31546-KER,Male,31,No,15,5,26,73
31562-JHA,Female,66,Yes,9,15,1,29
31566-UTT,Male,25,No,9,28,1,10
31572-AND,Female,84,Yes,1,17,1,19
31583-UTT,Female,43,No,7,6,1,10
31589-MAD,Female,32,No,8,14,63,20
31589-PUN,Male,29,Yes,4,19,1,26
31593-UTT,Female,75,Yes,4,4,1,10
31596-BIH,Male,21,No,2,11,3,16
31599-RAJ,Male,35,Yes,5,4,1,11
31601-DEL,Female,31,Yes,2,10,18,1
31623-GUJ,Male,55,Yes,4,24,1,8
31635-TEL,Female,55,No,4,21,1,6
31655-TAM,Female,42,Yes,13,18,1,5
31674-UTT,Female,75,No,15,7,1,10
31678-GUJ,Female,57,No,7,3,25,8
31688-CHH,Female,25,Yes,0,8,212,25
31698-PUN,Female,20,Yes,15,1,26,26
31725-KER,Male,48,No,14,10,1,73
31733-TAM,Male,66,No,6,4,4,5
31735-HAR,Female,45,No,14,7,1,32
31742-BIH,Male,25,No,4,14,1,16
31758-UTT,Male,32,Yes,11,29,193,51
31791-TAM,Female,66,Yes,1,19,1,5
31800-JAM,Female,61,Yes,2,18,20,41
31805-ASS,Male,47,No,1,22,72,46
31816-RAJ,Female,58,Yes,2,35,22,11
31820-ODI,Female,67,No,9,13,1,69
31840-JAM,Female,76,Yes,2,7,1,41
31856-TAM,Female,51,Yes,5,36,1,5
31859-MAH,Male,46,No,5,35,63,2
31860-KAR,Female,38,Yes,12,34,1,4
31860-TEL,Male,76,No,14,9,141,6
31864-AND,Female,26,No,1,13,1,19
31866-MAH,Female,49,Yes,9,3,1,2
31894-KAR,Male,30,No,0,35,1,4
31904-MAH,Female,75,Yes,3,15,1,2
31918-KAR,Female,37,No,15,34,18,4
31937-TAM,Female,32,No,14,25,1,5
31940-ODI,Male,63,No,6,35,26,69
31957-RAJ,Male,24,Yes,8,8,25,11
31962-KAR,Male,25,Yes,2,35,212,4
31962-ODI,Female,68,No,12,18,1,69
31978-WES,Female,26,Yes,0,25,1,3
31983-HAR,Male,35,Yes,2,14,1,32
32011-TAM,Female,59,Yes,15,35,1,5
32018-KER,Male,36,Yes,15,32,1,73
32019-PUD,Female,57,Yes,0,18,1,238
32022-PUD,Male,51,Yes,11,13,1,238
32026-TAM,Female,44,No,7,26,1,5
32028-WES,Male,64,No,13,20,1,3
32034-UTT,Female,23,Yes,15,4,1,10
32054-JAM,Male,68,No,1,24,288,41
32059-JAM,Female,71,Yes,6,27,63,41
32061-WES,Female,60,Yes,3,21,1,3
32063-UTT,Female,63,Yes,6,31,18,10
32067-PUN,Female,28,No,13,33,25,26
32072-PUN,Male,59,No,6,30,1,26
32080-WES,Male,33,Yes,1,12,18,3
32089-TAM,Female,28,Yes,3,11,267,5
32103-GUJ,Female,76,No,12,28,20,8
32117-TAM,Female,25,Yes,7,26,1,5
32129-GUJ,Male,67,No,12,29,72,8
32131-KAR,Female,37,Yes,14,4,1,4
32176-GUJ,Male,34,No,14,6,19,8
32214-HAR,Female,30,Yes,12,19,22,32
32236-KER,Male,33,Yes,6,35,1,73
32247-UTT,Female,42,No,12,6,1,10
32317-KAR,Female,52,No,13,33,3,4
32353-UTT,Female,19,No,12,7,1,10
32375-UTT,Female,23,Yes,1,3,18,10
32377-DEL,Female,59,Yes,10,31,193,1
32380-PUD,Male,26,Yes,7,11,1,238
32391-BIH,Male,64,Yes,13,29,1,16
32391-HAR,Female,75,No,13,36,25,32
32419-DEL,Female,46,No,8,36,1,1
32429-UTT,Male,82,Yes,10,17,1,51
32445-ODI,Female,26,No,2,27,1,69
32447-HAR,Female,38,Yes,13,18,409,32
32454-UTT,Female,37,No,12,20,1,10
32458-MAD,Male,23,No,14,9,1,20
32496-TAM,Female,30,Yes,8,7,1,5
32507-JAM,Female,44,No,6,7,20,41
32539-KAR,Male,47,Yes,6,16,1,4
32553-TAM,Male,52,No,11,1,1,5
32554-DEL,Male,28,No,0,21,20,1
32561-KAR,Male,27,Yes,7,9,1,4
32563-KAR,Female,34,Yes,3,22,18,4
32586-UTT,Female,25,No,15,10,18,10
32587-UTT,Female,30,No,1,27,18,10
32594-MAH,Male,61,Yes,4,1,212,2
32630-KAR,Male,65,Yes,0,16,25,4
32634-UTT,Male,56,Yes,5,1,1,10
32663-BIH,Female,75,Yes,4,22,1,16
32673-RAJ,Male,55,Yes,8,25,1,11
32681-MAH,Female,83,Yes,3,1,111,2
32696-UTT,Female,49,Yes,0,10,72,10
32720-RAJ,Female,30,Yes,13,4,212,11
32749-UTT,Female,58,No,13,12,22,10
32750-TEL,Male,24,No,9,2,1,6
32770-RAJ,Female,75,Yes,12,12,212,11
32778-KAR,Male,28,Yes,1,1,1,4
32779-TAM,Male,48,No,2,10,1,5
32802-WES,Male,22,Yes,3,5,1,3
32819-MAD,Male,72,No,4,35,1,20
32821-MAD,Female,52,No,7,5,1,20
32821-TAM,Male,27,No,11,15,1,5
32845-KAR,Female,57,No,11,21,1,4
32847-KER,Female,58,Yes,15,12,25,73
32855-RAJ,Male,50,No,8,18,1,11
32857-MAH,Male,60,Yes,6,11,20,2
32874-WES,Female,48,Yes,9,34,1,3
32883-MAD,Female,22,No,7,5,1,20
32887-MAH,Female,60,Yes,6,11,409,2
32902-KAR,Female,74,No,12,22,63,4
32917-AND,Female,35,Yes,1,25,1,19
32932-MAD,Female,35,No,4,5,1,20
32942-UTT,Female,61,Yes,6,3,1,10
32943-RAJ,Female,49,Yes,2,11,1,11
32944-TAM,Female,42,No,3,19,1,5
32949-WES,Male,40,Yes,6,7,1,3
32966-HAR,Female,23,No,3,7,18,32
32997-AND,Female,38,Yes,11,23,212,19
33003-KAR,Female,25,No,4,29,26,4
33021-HAR,Male,47,No,0,6,1,32
33023-GUJ,Female,25,Yes,13,17,1,8
33035-WES,Male,62,No,5,6,193,3
33041-JAM,Female,48,No,6,12,63,41
33051-UTT,Male,45,No,5,16,1,10
33053-TAM,Female,55,Yes,13,4,1,5
33065-BIH,Male,37,Yes,14,28,1,16
33077-BIH,Female,53,No,1,7,1,16
33079-GUJ,Female,63,Yes,14,34,1,8
33081-KER,Female,69,Yes,15,28,1,73
33099-TEL,Male,62,No,8,19,1,6
33119-KAR,Male,51,Yes,14,36,1,4
33122-KER,Male,63,No,10,16,1,73
33124-TAM,Female,53,No,15,26,288,5
33167-UTT,Female,52,No,6,15,4,10
33169-JAM,Male,30,No,3,6,22,41
33177-MAD,Male,61,Yes,5,10,1,20
33181-AND,Male,82,Yes,6,34,1,19
33206-MAD,Female,56,No,12,33,409,20
33217-ODI,Male,28,No,9,7,1,69
33228-AND,Male,57,No,3,16,1,19
33232-PUN,Female,59,Yes,4,33,1,26
33248-TAM,Male,68,Yes,14,2,5,5
33250-PUN,Male,54,No,14,33,3,26
33257-TAM,Female,73,Yes,10,35,63,5
33278-KER,Female,50,Yes,13,36,1,73
33296-AND,Male,32,No,3,36,5,19
33304-JAM,Female,58,No,0,32,20,41
33317-RAJ,Male,55,No,1,25,1,11
33318-JAM,Female,36,Yes,1,9,20,41
33334-HAR,Male,46,Yes,12,11,1,32
33334-PUN,Female,27,No,1,12,141,26
33345-MAH,Female,33,Yes,12,17,1,2
33345-WES,Female,20,No,2,4,1,3
33391-MAH,Female,35,Yes,5,11,5,2
33411-GUJ,Male,37,No,0,3,1,8
33414-GUJ,Male,55,No,4,8,1,8
33430-HAR,Female,29,No,9,27,1,32
33437-MAD,Female,34,No,13,35,5,20
33439-RAJ,Female,37,No,6,32,1,11
33458-CHH,Female,73,No,4,1,1,25
33463-JAM,Female,43,No,13,35,22,41
33472-HAR,Female,77,No,0,16,18,32
33490-BIH,Female,43,Yes,13,9,4,16
33495-JAM,Female,77,Yes,2,24,1,41
33495-UTT,Male,81,No,14,23,288,10
33497-HAR,Female,51,Yes,14,1,1,32
33514-UTT,Female,28,Yes,2,3,1,10
33533-GUJ,Male,65,No,4,5,1,8
33538-GUJ,Male,23,No,6,5,1,8
33564-JAM,Female,30,No,3,10,20,41
33565-JAM,Male,73,Yes,4,7,1,41
33565-UTT,Male,72,Yes,7,29,18,10
33572-UTT,Female,77,Yes,0,3,1,10
33573-DEL,Female,20,Yes,7,11,26,1
33575-UTT,Male,83,Yes,2,25,1,10
33601-UTT,Male,29,No,2,34,1,10
33602-WES,Male,39,Yes,10,36,212,3
33621-MAD,Female,42,No,13,12,18,20
33651-KAR,Female,71,Yes,12,6,1,4
33663-HAR,Male,60,No,8,35,1,32
33672-JAM,Male,62,Yes,9,4,20,41
33682-AND,Male,49,No,2,4,1,19
33702-MAH,Female,82,Yes,11,9,1,2
33710-GUJ,Female,37,No,0,8,193,8
33715-AND,Male,61,No,11,31,1,19
33717-AND,Male,47,Yes,8,22,1,19
33717-JAM,Male,42,No,10,29,22,41
33718-MAH,Male,32,Yes,1,3,1,2
33720-BIH,Female,84,Yes,9,24,20,16
33745-AND,Female,45,No,12,19,1,19
33747-UTT,Male,59,No,8,29,141,10
33761-HAR,Female,45,Yes,5,11,3,32
33772-DEL,Female,76,Yes,0,27,1,1
33773-UTT,Male,58,Yes,3,6,18,10
33776-BIH,Male,32,Yes,6,10,18,16
33781-WES,Male,72,No,15,16,1,3
33788-PUD,Male,32,Yes,0,30,72,238
33799-CHH,Female,23,No,10,2,26,25
33812-PUD,Male,24,No,12,8,1,238
33831-PUN,Female,59,Yes,12,30,1,26
33836-UTT,Male,59,Yes,4,30,1,51
33839-GUJ,Male,24,Yes,6,1,1,8
33844-KAR,Female,18,No,13,8,1,4
33852-ASS,Female,42,No,14,25,1,46
33855-HAR,Female,25,No,10,16,3,32
33878-KER,Male,53,Yes,5,10,22,73
33910-TEL,Female,63,No,4,30,18,6
33911-TEL,Female,47,No,12,1,1,6
33916-JAM,Female,39,Yes,7,21,20,41
33927-MAH,Male,44,Yes,12,6,1,2
33928-MAH,Female,70,No,11,18,3,2
33933-MAD,Male,56,Yes,9,3,1,20
33955-HAR,Female,38,No,4,26,1,32
33958-BIH,Female,43,Yes,10,19,1,16
33968-MAD,Male,63,Yes,13,34,1,20
33980-PUN,Female,58,No,9,29,1,26
33993-ODI,Male,59,No,3,13,63,69
33999-ODI,Female,26,No,11,35,1,69
34004-PUN,Female,52,Yes,8,4,1,26
34005-UTT,Female,74,Yes,2,35,22,10
34024-AND,Female,45,Yes,4,21,18,19
34042-WES,Male,36,Yes,12,19,1,3
34064-UTT,Male,44,No,0,18,1,10
34072-WES,Female,58,No,3,7,1,3
34073-RAJ,Male,48,Yes,7,6,1,11
34084-TEL,Male,51,Yes,7,2,1,6
34101-TAM,Female,41,No,5,35,18,5
34103-ODI,Female,50,Yes,8,22,1,69
34110-MAH,Female,20,Yes,6,3,18,2
34120-ODI,Male,50,No,15,11,1,69
34128-GUJ,Female,48,No,9,32,1,8
34133-BIH,Female,63,Yes,0,12,1,16
34135-JAM,Female,64,Yes,7,14,22,41
34135-MAH,Female,21,No,9,6,1,2
34169-RAJ,Male,51,Yes,14,30,18,11
34174-MAD,Male,44,Yes,4,2,1,20
34183-UTT,Male,52,No,1,28,72,10
34205-UTT,Male,50,No,5,29,26,10
34212-MAH,Female,64,No,3,17,1,2
34220-BIH,Female,69,Yes,6,28,1,16
34237-HAR,Female,73,Yes,8,30,1,32
34258-JAM,Female,24,No,7,5,20,41
34262-TEL,Male,50,Yes,3,23,1,6
34266-KAR,Female,73,Yes,14,18,1,4
34278-UTT,Female,56,No,13,32,3,10
34284-UTT,Female,82,No,5,25,22,10
34319-MAH,Female,82,Yes,3,17,1,2
34319-UTT,Male,40,Yes,12,25,18,10
34320-JAM,Female,36,No,13,12,1,41
34323-KAR,Male,37,No,12,22,1,4
34330-TAM,Male,39,No,15,11,1,5
34333-GUJ,Female,18,No,13,4,1,8
34389-RAJ,Female,48,No,4,5,1,11
34391-MAD,Female,44,Yes,1,9,1,20
34397-GUJ,Male,44,No,8,14,1,8
34402-MAD,Female,44,No,5,36,141,20
34425-ASS,Male,81,No,0,21,1,46
34444-PUN,Female,39,Yes,6,31,1,26
34476-TAM,Male,73,No,13,21,1,5
34493-PUD,Female,19,No,14,8,212,238
34520-UTT,Female,51,No,1,5,1,10
34524-MAH,Female,57,No,13,23,1,2
34527-PUN,Male,22,Yes,3,12,1,26
34528-AND,Female,18,No,15,2,1,19
34547-WES,Male,30,No,1,22,1,3
34580-MAH,Male,62,No,6,32,26,2
34584-MAD,Female,35,Yes,14,9,1,20
34588-RAJ,Female,67,Yes,2,19,1,11
34591-RAJ,Female,53,No,2,15,1,11
34599-MAH,Female,20,No,2,4,1,2
34615-UTT,Female,35,No,8,25,1,51
34622-WES,Female,59,No,12,24,1,3
34626-BIH,Male,42,No,14,5,1,16
34680-KAR,Male,71,Yes,14,33,1,4
34695-JAM,Female,64,No,6,22,20,41
34711-UTT,Female,84,No,14,13,1,51
34713-KER,Male,58,Yes,1,29,18,73
34729-MAH,Female,49,No,4,19,22,2
34738-KAR,Male,76,Yes,8,31,1,4
34754-MAH,Female,55,Yes,1,10,1,2
34756-PUN,Male,54,Yes,8,13,193,26
34757-KAR,Female,70,No,11,12,1,4
34788-TEL,Female,39,No,4,15,1,6
34799-UTT,Female,34,Yes,11,17,1,10
34812-BIH,Female,83,No,12,19,3,16
34824-UTT,Female,59,Yes,10,24,1,10
34825-WES,Female,30,Yes,12,3,1,3
34828-PUD,Female,46,No,3,23,1,238
34857-WES,Female,21,Yes,4,8,1,3
34897-RAJ,Female,45,Yes,12,9,1,11
34903-PUD,Male,56,Yes,4,14,1,238
34904-WES,Male,49,Yes,1,23,1,3
34921-HAR,Female,58,No,0,14,1,32
34924-HAR,Male,53,Yes,4,1,1,32
34927-MAH,Female,22,No,5,10,1,2
34947-UTT,Female,40,Yes,12,34,1,10
34961-AND,Female,55,No,5,4,212,19
35000-MAH,Male,77,Yes,1,7,193,2
35002-KAR,Female,51,No,1,30,86,4
35003-GUJ,Male,52,Yes,13,19,1,8
35004-RAJ,Male,28,No,4,32,20,11
35011-MAH,Female,58,No,4,32,1,2
35014-HAR,Female,74,Yes,6,28,1,32
35016-ODI,Male,49,Yes,15,1,67,69
35038-HAR,Male,45,No,6,26,1,32
35047-KAR,Female,47,No,11,3,1,4
35049-GUJ,Female,62,Yes,5,20,1,8
35069-WES,Male,21,Yes,14,2,1,3
35075-PUN,Male,64,Yes,5,9,18,26
35094-GUJ,Male,21,Yes,1,5,1,8
35126-UTT,Female,68,No,11,22,1,10
35143-MAH,Female,68,Yes,8,19,1,2
35146-HAR,Female,21,No,0,3,212,32
35152-HAR,Female,42,No,7,31,3,32
35183-MAH,Female,55,No,6,11,1,2
35197-TEL,Female,78,Yes,14,27,3,6
35203-HAR,Female,25,Yes,6,8,1,32
35207-MAD,Female,71,No,4,8,1,20
35211-JHA,Male,42,No,15,2,1,29
35237-MAH,Male,68,No,0,2,25,2
35240-WES,Female,51,No,0,9,1,3
35248-KAR,Female,37,Yes,15,9,1,4
35267-ODI,Female,26,Yes,6,20,1,69
35279-BIH,Male,57,Yes,0,19,4,16
35279-HAR,Female,43,No,11,6,193,32
35322-MAH,Male,37,No,1,11,1,2
35389-JAM,Female,23,Yes,14,4,1,41
35391-MAH,Female,52,Yes,5,29,1,2
35391-UTT,Male,23,No,15,5,1,10
35416-UTT,Female,37,Yes,8,23,1,51
35422-CHH,Female,46,Yes,1,24,1,25
35430-ASS,Female,56,No,15,3,1,46
35445-MAH,Female,55,No,13,2,1,2
35452-KER,Female,58,Yes,12,24,1,73
35453-BIH,Female,28,Yes,12,29,1,16
35458-MAD,Female,56,No,10,13,1,20
35471-KAR,Female,46,Yes,13,26,1,4
35494-JHA,Female,82,No,1,12,1,29
35498-MAH,Female,61,No,7,23,1,2
35520-ASS,Female,25,No,7,3,4,46
35527-JAM,Female,24,No,6,10,1,41
35527-TAM,Female,18,Yes,2,12,1,5
35529-DEL,Female,35,No,15,27,1,1
35538-TAM,Female,52,No,7,11,1,5
35560-UTT,Female,40,No,2,23,1,10
35571-TEL,Male,30,Yes,1,11,1,6
35597-UTT,Female,34,Yes,6,14,1,10
35603-UTT,Female,43,No,5,34,1,51
35604-ASS,Female,60,Yes,11,34,1,46
35606-BIH,Male,76,Yes,12,18,18,16
35607-WES,Female,29,Yes,6,2,19,3
35612-TEL,Female,19,Yes,13,6,1,6
35614-HAR,Female,20,No,14,1,1,32
35635-TEL,Female,26,Yes,10,5,18,6
35642-WES,Male,59,No,9,9,1,3
35643-UTT,Male,57,Yes,1,4,1,10
35648-TAM,Male,49,Yes,9,22,1,5
35653-AND,Female,43,No,14,14,1,19
35656-AND,Male,44,Yes,7,27,212,19
35658-JHA,Male,35,No,2,16,18,29
35673-UTT,Female,47,Yes,3,18,1,10
35675-KAR,Male,57,Yes,5,20,1,4
35693-GUJ,Male,74,No,14,2,1,8
35700-MAH,Female,55,No,9,32,67,2
35701-MAH,Male,33,No,10,6,1,2
35703-RAJ,Male,70,Yes,0,26,1,11
35715-WES,Female,34,No,13,10,3,3
35717-JHA,Male,63,Yes,14,11,1,29
35724-UTT,Female,62,No,13,26,1,10
35739-TEL,Male,33,No,8,25,1,6
35753-BIH,Female,54,No,5,13,1,16
35755-UTT,Male,55,No,5,27,1,10
35773-TAM,Female,43,Yes,6,21,22,5
35779-ODI,Female,41,No,2,36,1,69
35808-TEL,Male,54,Yes,2,9,1,6
35811-UTT,Female,62,Yes,10,36,1,10
35816-UTT,Male,43,No,7,4,5,10
35822-UTT,Male,59,No,9,9,1,10
35834-ASS,Female,63,No,10,32,1,46
35841-KAR,Female,53,No,5,4,5,4
35885-MAD,Female,55,No,9,25,26,20
35911-MAD,Male,53,No,9,34,1,20
35913-GUJ,Female,47,No,5,17,1,8
35919-PUN,Male,26,No,13,11,1,26
35926-WES,Female,53,No,0,6,1,3
35972-UTT,Male,35,Yes,0,11,1,10
35974-ODI,Female,71,Yes,2,18,1,69
35990-GUJ,Female,62,Yes,9,25,3,8
35995-PUN,Female,34,No,3,23,18,26
36017-TAM,Female,52,Yes,15,23,18,5
36037-BIH,Male,40,No,3,6,1,16
36043-TAM,Female,27,No,14,23,1,5
36120-ODI,Male,51,Yes,1,30,1,69
36138-KAR,Female,28,Yes,14,29,1,4
36140-BIH,Female,51,No,15,9,1,16
36159-CHH,Female,43,No,1,28,4,25
36180-UTT,Female,55,Yes,13,33,1,51
36183-AND,Female,33,Yes,7,23,1,19
36195-UTT,Female,23,Yes,4,4,1,10
36197-GUJ,Female,66,No,13,6,1,8
36216-PUD,Female,56,No,0,18,1,238
36228-TAM,Male,78,No,2,31,1,5
36267-UTT,Female,47,No,6,3,3,10
36279-TAM,Male,49,Yes,1,15,1,5
36284-ODI,Male,43,Yes,4,13,18,69
36312-MAH,Male,22,Yes,4,10,3,2
36323-UTT,Female,48,No,14,11,18,10
36325-KAR,Female,23,No,15,4,25,4
36337-AND,Male,30,Yes,6,4,1,19
36339-UTT,Female,54,No,14,7,18,10
36345-PUN,Female,48,No,7,31,5,26
36349-AND,Female,31,No,10,2,1,19
36357-PUN,Male,35,Yes,4,27,1,26
36361-MAD,Female,35,Yes,1,35,1,20
36369-MAH,Male,54,No,10,13,1,2
36372-JAM,Male,41,No,9,27,4,41
36375-GUJ,Male,22,No,15,2,1,8
36379-JAM,Male,41,Yes,12,28,63,41
36382-WES,Female,27,No,15,9,1,3
36405-CHH,Male,47,No,9,26,3,25
36410-KAR,Female,50,No,3,30,1,4
36423-MAH,Male,66,Yes,3,17,86,2
36427-TAM,Female,60,Yes,6,21,1,5
36437-MAH,Female,38,Yes,2,21,1,2
36440-JHA,Female,78,Yes,3,26,5,29
36451-AND,Female,34,Yes,2,30,1,19
36469-UTT,Female,36,Yes,9,22,1,10
36479-ODI,Female,71,Yes,2,15,63,69
36483-KAR,Male,42,No,2,14,18,4
36492-WES,Female,41,Yes,9,15,3,3
36500-WES,Male,21,Yes,6,8,1,3
36501-TAM,Female,34,No,12,19,1,5
36502-TEL,Female,60,No,1,33,1,6
36509-KAR,Female,32,Yes,3,16,1,4
36521-TAM,Male,28,No,12,24,1,5
36531-JAM,Male,58,No,6,14,20,41
36544-TAM,Female,59,Yes,1,23,1,5
36549-UTT,Female,28,Yes,11,10,1,10
36560-WES,Female,26,No,3,4,1,3
36568-HAR,Male,26,Yes,7,8,1,32
36574-WES,Female,51,Yes,7,26,3,3
36581-KER,Female,51,Yes,8,2,1,73
36589-UTT,Female,56,No,13,29,19,10
36599-BIH,Female,40,No,0,29,267,16
36618-TEL,Female,83,No,14,11,212,6
36620-WES,Female,41,No,7,1,1,3
36627-BIH,Female,36,Yes,5,32,1,16
36628-GUJ,Female,44,Yes,7,1,18,8
36631-JHA,Male,55,No,3,22,1,29
36634-AND,Female,53,No,15,28,1,19
36634-PUN,Male,46,No,1,2,1,26
36718-WES,Female,69,No,13,12,1,3
36747-BIH,Female,47,Yes,5,5,1,16
36755-AND,Female,62,Yes,9,9,1,19
36756-MAD,Male,64,Yes,15,33,20,20
36759-KAR,Female,41,Yes,1,27,1,4
36760-GUJ,Female,20,Yes,14,6,1,8
36787-AND,Male,30,Yes,12,27,1,19
36802-GUJ,Male,45,Yes,7,11,1,8
36808-KAR,Female,29,No,11,14,4,4
36829-HAR,Female,66,Yes,10,28,212,32
36832-UTT,Male,31,No,11,1,63,10
36839-MAD,Female,29,No,1,12,193,20
36842-DEL,Male,27,Yes,8,36,1,1
36853-MAH,Female,27,No,8,2,267,2
36905-PUN,Male,32,No,13,1,1,26
36918-GUJ,Female,55,No,10,23,1,8
36925-TAM,Male,65,No,5,21,1,5
36927-HAR,Female,44,Yes,0,15,1,32
36962-WES,Male,76,No,10,25,409,3
36981-GUJ,Male,44,Yes,7,35,1,8
36981-UTT,Male,68,No,0,9,63,51
36995-TAM,Female,36,No,0,33,1,5
37014-BIH,Female,60,Yes,2,5,1,16
37016-JAM,Female,63,Yes,12,18,1,41
37034-RAJ,Female,58,Yes,2,8,22,11
37038-PUN,Female,24,Yes,0,7,1,26
37047-DEL,Male,80,Yes,2,34,20,1
37048-KAR,Female,30,Yes,0,4,1,4
37069-UTT,Female,65,No,11,21,1,10
37071-KER,Female,48,No,6,33,63,73
37098-TAM,Female,55,Yes,13,26,1,5
37116-HAR,Female,63,No,6,15,22,32
37118-JAM,Male,65,Yes,13,15,1,41
37131-MAH,Male,52,No,6,2,18,2
37148-BIH,Female,42,No,6,2,63,16
37167-TAM,Female,49,No,0,27,1,5
37191-MAH,Female,29,Yes,9,13,1,2
37202-BIH,Female,63,Yes,7,11,1,16
37203-KAR,Male,49,No,14,32,1,4
37224-KER,Female,50,No,2,19,1,73
37229-KAR,Male,78,No,10,6,1,4
37230-TEL,Female,19,No,10,9,1,6
37245-MAD,Female,57,No,12,31,1,20
37251-AND,Female,31,No,12,26,3,19
37251-UTT,Female,24,Yes,5,6,1,10
37267-MAH,Female,35,No,1,30,1,2
37270-MAH,Male,36,No,10,18,22,2
37275-RAJ,Male,26,Yes,8,36,1,11
37288-GUJ,Female,30,No,7,27,1,8
37295-KAR,Male,62,Yes,3,20,1,4
37338-RAJ,Male,48,Yes,7,9,72,11
37347-AND,Female,65,No,4,13,1,19
37350-HAR,Male,30,Yes,4,18,1,32
37371-UTT,Male,38,Yes,2,10,1,10
37373-UTT,Female,35,No,0,7,1,10
37374-TAM,Female,74,No,12,7,1,5
37378-KER,Female,22,No,4,8,1,73
37396-DEL,Female,40,No,1,32,1,1
37435-TEL,Female,74,No,15,26,1,6
37453-JAM,Male,73,No,13,2,20,41
37465-UTT,Male,33,No,3,24,1,10
37470-BIH,Male,67,No,2,16,1,16
37470-TEL,Female,20,Yes,10,7,1,6
37491-JAM,Male,28,Yes,1,33,1,41
37517-AND,Female,54,Yes,13,36,1,19
37529-MAH,Female,72,No,6,4,3,2
37548-WES,Male,72,No,9,2,1,3
37551-HAR,Female,43,Yes,1,32,1,32
37569-KER,Male,34,Yes,9,32,1,73
37572-PUN,Female,73,No,1,23,1,26
37572-RAJ,Female,33,No,7,13,1,11
37577-PUN,Male,70,Yes,7,6,1,26
37580-TEL,Female,60,No,6,20,1,6
37584-KAR,Female,37,Yes,5,13,1,4
37598-UTT,Male,63,No,5,30,193,10
37628-UTT,Male,48,No,10,32,1,10
37635-JAM,Female,47,Yes,13,27,20,41
37636-WES,Male,25,Yes,9,3,1,3
37657-KER,Female,57,Yes,7,27,63,73
37660-WES,Female,23,Yes,7,7,409,3
37703-MAH,Female,53,No,8,5,1,2
37704-PUN,Male,50,No,3,28,1,26
37708-BIH,Female,71,Yes,4,30,3,16
37729-KAR,Male,46,No,12,32,1,4
37735-GUJ,Female,57,No,9,23,1,8
37737-PUN,Male,52,No,11,24,1,26
37748-JHA,Female,34,No,13,35,1,29
37765-TAM,Male,46,Yes,9,16,1,5
37791-HAR,Male,75,No,10,12,25,32
37794-MAH,Male,28,No,14,14,1,2
37799-TAM,Female,37,No,7,31,3,5
37816-JAM,Female,73,No,2,3,20,41
37857-KAR,Male,64,No,3,27,72,4
37882-WES,Female,78,Yes,1,11,72,3
37887-AND,Female,21,Yes,9,5,1,19
37901-PUN,Female,29,No,7,6,67,26
37906-UTT,Female,38,Yes,9,7,1,10
37950-MAD,Male,35,Yes,6,29,1,20
37960-TEL,Female,77,No,0,2,1,6
37974-ASS,Male,30,Yes,7,5,1,46
